Sam has 5 apples, buys 3 more, eats 2, how many left	5 + 3 = 8, then 8 - 2 = 6, = 6
there are 4 birds, 3 fly away, 2 come back, how many now	4 - 3 = 1, then 1 + 2 = 3, = 3
3 boxes with 4 apples each, eat 5, how many left	3 x 4 = 12, then 12 - 5 = 7, = 7
you have 10 coins, spend 4, earn 6, how many	10 - 4 = 6, then 6 + 6 = 12, = 12
2 bags of 5 sweets shared between 2, each gets	2 x 5 = 10, then 10 / 2 = 5, each gets 5
7 kids and 5 more arrive, split into 2 teams, each team	7 + 5 = 12, then 12 / 2 = 6, each team has 6
a shelf has 8 books, add 4, remove 3, how many	8 + 4 = 12, then 12 - 3 = 9, = 9
6 apples and buy double that, how many total	6 x 2 = 12, then 6 + 12 = 18, = 18
5 red and 3 blue marbles, lose 2, how many	5 + 3 = 8, then 8 - 2 = 6, = 6
4 rows of 3 chairs, remove one row, how many chairs	4 x 3 = 12, then 12 - 3 = 9, = 9
9 sweets, eat 3, then buy 5, how many	9 - 3 = 6, then 6 + 5 = 11, = 11
2 boxes of 6 pens, give away 4, how many left	2 x 6 = 12, then 12 - 4 = 8, = 8
